token,name,TRNC,Volume,Liquidity,FDV,Link,response
FTAILS,fTAILSFTM,54,6.5K,46K,73K,https://dexscreener.com/fantom/0xe9ece32363575e67aed463d2fb4e77a8294b004c,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
opXEN,XEN Crypto,89,4.7K,10K,50K,https://dexscreener.com/optimism/0xfdf64c32f4a03923547e6061911483b793e8d7e2,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
SFD,Safudex,195,53K,27K,40K,https://dexscreener.com/ethereum/0xb5d39f7956b8c72484ed84b9a29649e6c2b25631,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
GMFTM,#GMFTM,24,1.8K,11K,53K,https://dexscreener.com/fantom/0xb6bc2682f196c1fd32bd6b0de4af7696a3bb83f9,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
BTCS,Bitcoin Spark,4,41,4.2K,15K,https://dexscreener.com/ethereum/0xca4fdf633a0f82c2c59dcef677cd7bef73506827,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
Xeno,Xeno,19,8.2K,37K,90K,https://dexscreener.com/ethereum/0x82701111940bccc99127ecb209a651141822a69b,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
TOSHI,Toshi,47,2.9K,1.3K,88K,https://dexscreener.com/base/0x5f0a153a64fd734c111b770da11de2c385ca8042,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
BENANCE,BENANCE,8,1.9K,31K,52K,https://dexscreener.com/ethereum/0xab3f65c91bad49df8ebb4f15fc1f11655c2a78f7,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
PAAL,PAAL AI,3,213,66K,69K,https://dexscreener.com/ethereum/0x58bd02eb1061155defcbb9ffa541a16ec6942b79,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
IBTC,iShares Bitcoin,19,4.8K,26K,47K,https://dexscreener.com/ethereum/0xfe0c4acfa8fc6dea7887cd633b995fd4503b4eda,<200 https://api.zenrows.com/v1/?apikey=8aef56505dd4a963c9c1fe444cffe0873526cd1e&url=https%3A%2F%2Fdexscreener.com%2F%3FrankBy%3DtrendingScoreH6%26order%3Ddesc%26minLiq%3D1000%26minFdv%3D15000%26maxFdv%3D100000%26minAge%3D720%26maxAge%3D8640&js_render=true&antibot=true&premium_proxy=true>
